transaction_id,customer_id,account_number,transaction_date,posting_date,transaction_amount,currency,balance,merchant_name,transaction_type
TXN100087,CUST5087,100000000087,2024-01-28,2024-01-28,910.43,USD,-113336.09,Netflix,REFUND
TXN100088,CUST5088,100000000088,2024-01-29,2024-01-30,457.36,EUR,-113793.45,Apple Store,FEE
TXN100089,CUST5089,100000000089,2024-01-30,2024-01-30,4757.58,USD,-118551.03,Apple Store,DEBIT
TXN100090,CUST5090,100000000090,2024-01-01,2024-01-01,422.73,USD,ABC123, Apple Store ,FEE 
TXN100091,CUST5091,100000000091,2024-01-02,2024-01-03,3423.54,USD,-122397.3,Shell Oil,DEBIT
TXN100092,CUST5092,100000000092,2024-01-03,2024-01-04,4027.01,USD,-126424.31,Shell Oil,REFUND
TXN100093,CUST5093,100000000093,2024-01-04,2024-01-05,1174.29,USD,-127598.6,Netflix,CREDIT
TXN100094,CUST5094,100000000094,2024-01-05,2024-01-06,1900.91,INR,-129499.51,Apple Store,REFUND
TXN100095,CUST5095,100000000095,2024-01-06,2024-01-07,1491.16,USD,-130990.67,Delta Airlines,REFUND
TXN100096,CUST5096,100000000096,2024-01-07,2024-01-08,4541.87,EUR,-135532.54,Apple Store,CREDIT
TXN100097,CUST5097,100000000097,2024-01-08,2024-01-08,781.67,INR,-136314.21,Uber,REFUND
TXN100098,CUST5098,100000000098,2024-01-09,2024-01-09,4709.81,USD,-141024.02,Apple Store,REFUND
TXN100099,CUST5099,100000000099,2024-01-10,2024-01-11,3793.06,EUR,-144817.08,Delta Airlines,DEBIT
TXN100100,CUST5100,000100000000100,2024-01-11,2024-01-11,"$4,519.80",EUR,-149336.88, Amazon ,CREDIT
TXN100101,CUST5101,100000000101,2024-01-12,2024-01-12,1571.06,INR,-150907.94,Walmart,CREDIT
TXN100102,CUST5102,100000000102,2024-01-13,2024-01-14,1619.43,EUR,-152527.37,Starbucks,DEBIT
TXN100103,CUST5103,100000000103,2024-01-14,2024-01-15,444.83,USD,-152972.2,Apple Store,CREDIT
TXN100104,CUST5104,100000000104,2024-01-15,2024-01-16,4471.31,INR,-157443.51,Delta Airlines,CREDIT
TXN100105,CUST5105,100000000105,2024-01-16,2024-01-16,4309.02,USD,-161752.53,Shell Oil,FEE 
TXN100106,CUST5106,100000000106,2024-01-17,2024-01-17,4885.84,USD,-166638.37,Shell Oil,REFUND
TXN100107,CUST5107,100000000107,2024-01-18,2024-01-18,57.15,EUR,-166695.52,Shell Oil,REFUND
TXN100108,CUST5108,100000000108,2024-01-19,2024-01-20,250.16,EUR,-166945.68,Delta Airlines,DEBIT
TXN100109,CUST5109,100000000109,2024-01-20,2024-01-20,655.65,EUR,-167601.33,Apple Store,FEE
TXN100110,CUST5110,100000000110,2024-01-21,2024-01-21,3204.55,INR,-170805.88, Uber ,DEBIT
TXN100111,CUST5111,100000000111,2024-01-22,2024-01-22,1561.61,INR,-172367.49,Starbucks,FEE
TXN100112,CUST5112,100000000112,2024-01-23,2024-01-24,1090.97,USD,-173458.46,Shell Oil,CREDIT
TXN100113,CUST5113,100000000113,2024-01-24,2024-01-24,1523.6,INR,-174982.06,Apple Store,REFUND
TXN100114,CUST5114,100000000114,2024-01-25,2024-01-26,3022.69,INR,-178004.75,Netflix,FEE
TXN100115,CUST5115,100000000115,2024-01-26,2024-01-27,2659.34,EUR,-180664.09,Delta Airlines,CREDIT
TXN100116,CUST5116,100000000116,2024-01-27,2024-01-27,2339.9,EUR,-183003.99,Uber,REFUND
TXN100117,CUST5117,100000000117,2024-01-28,2024-01-28,1296.32,USD,-184300.31,Netflix,CREDIT
TXN100118,CUST5118,100000000118,2024-01-29,2024-01-30,3227.33,INR,-187527.64,Walmart,CREDIT
TXN100119,CUST5119,100000000119,2024-01-30,2024-01-30,1626.17,INR,-189153.81,Shell Oil,REFUND
TXN100120,CUST5120,000100000000120,2024-01-01,30/12/2023,4938.77,INR,ABC123, Shell Oil ,FEE 
TXN100121,CUST5121,100000000121,2024-01-02,2024-01-03,2279.16,USD,-196371.74,Amazon,FEE
TXN100122,CUST5122,100000000122,2024-01-03,2024-01-03,3122.59,INR,-199494.33,Shell Oil,REFUND
TXN100123,CUST5123,100000000123,2024-01-04,2024-01-05,79.71,EUR,-199574.04,Apple Store,DEBIT
TXN100124,CUST5124,100000000124,2024-01-05,2024-01-05,2204.74,EUR,-201778.78,Shell Oil,CREDIT
TXN100125,CUST5125,100000000125,2024-01-06,2024-01-06,"$2,156.32",INR,-203935.1,Shell Oil,DEBIT
TXN100126,CUST5126,100000000126,2024-01-07,2024-01-08,1632.89,INR,-205567.99,Netflix,DEBIT
TXN100127,CUST5127,100000000127,2024-01-08,2024-01-08,2295.87,USD,-207863.86,Apple Store,FEE
TXN100128,CUST5128,100000000128,2024-01-09,2024-01-09,4731.67,USD,-212595.53,Shell Oil,DEBIT
TXN100129,CUST5129,100000000129,2024-01-10,2024-01-10,1544.03,INR,-214139.56,Shell Oil,DEBIT
TXN100130,CUST5130,100000000130,2024-01-11,2024-01-12,3928.26,EUR,-218067.82, Uber ,REFUND
TXN100131,CUST5131,100000000131,2024-01-12,2024-01-13,3804.97,EUR,-221872.79,Delta Airlines,CREDIT
TXN100132,CUST5132,100000000132,2024-01-13,2024-01-13,3115.98,USD,-224988.77,Walmart,FEE
TXN100133,CUST5133,100000000133,2024-01-14,2024-01-15,241.78,EUR,-225230.55,Starbucks,DEBIT
TXN100134,CUST5134,100000000134,2024-01-15,2024-01-16,3152.49,INR,-228383.04,Starbucks,CREDIT
TXN100135,CUST5135,100000000135,2024-01-16,2024-01-17,2337.28,EUR,-230720.32,Amazon,DEBIT 
TXN100136,CUST5136,100000000136,2024-01-17,2024-01-18,2953.51,INR,-233673.83,Amazon,DEBIT
TXN100137,CUST5137,100000000137,2024-01-18,2024-01-19,3904.86,USD,-237578.69,Apple Store,FEE
TXN100138,CUST5138,100000000138,2024-01-19,2024-01-19,2167.92,INR,-239746.61,Delta Airlines,REFUND
TXN100139,CUST5139,100000000139,2024-01-20,2024-01-21,2209.49,INR,-241956.1,Starbucks,CREDIT
TXN100140,CUST5140,000100000000140,2024-01-21,2024-01-22,768.02,USD,-242724.12, Uber ,DEBIT
TXN100141,CUST5141,100000000141,2024-01-22,2024-01-22,836.62,USD,-243560.74,Walmart,CREDIT
TXN100142,CUST5142,100000000142,2024-01-23,2024-01-24,3362.96,EUR,-246923.7,Netflix,FEE
TXN100143,CUST5143,100000000143,2024-01-24,2024-01-25,2445.55,EUR,-249369.25,Uber,CREDIT
TXN100144,CUST5144,100000000144,2024-01-25,2024-01-25,4888.52,INR,-254257.77,Starbucks,DEBIT
TXN100145,CUST5145,100000000145,2024-01-26,2024-01-27,2481.0,EUR,-256738.77,Amazon,CREDIT
TXN100146,CUST5146,100000000146,2024-01-27,2024-01-28,754.55,USD,-257493.32,Amazon,FEE
TXN100147,CUST5147,100000000147,2024-01-28,2024-01-29,4101.46,EUR,-261594.78,Uber,DEBIT
TXN100148,CUST5148,100000000148,2024-01-29,2024-01-29,3979.08,EUR,-265573.86,Amazon,FEE
TXN100149,CUST5149,100000000149,2024-01-30,2024-01-31,4393.6,INR,-269967.46,Shell Oil,FEE
TXN100150,CUST5150,100000000150,2024-01-01,2024-01-02,"$1,040.86",INR,ABC123, Amazon ,REFUND 
TXN100151,CUST5151,100000000151,2024-01-02,2024-01-03,3925.13,EUR,-274933.45,Starbucks,DEBIT
TXN100152,CUST5152,100000000152,2024-01-03,2024-01-04,1298.32,INR,-276231.77,Delta Airlines,DEBIT
TXN100153,CUST5153,100000000153,2024-01-04,2024-01-05,523.83,INR,-276755.6,Delta Airlines,CREDIT
TXN100154,CUST5154,100000000154,2024-01-05,2024-01-06,4131.95,INR,-280887.55,Shell Oil,FEE
TXN100155,CUST5155,100000000155,2024-01-06,2024-01-07,3644.19,USD,-284531.74,Apple Store,CREDIT
TXN100156,CUST5156,100000000156,2024-01-07,2024-01-08,1303.42,INR,-285835.16,Amazon,FEE
TXN100157,CUST5157,100000000157,2024-01-08,2024-01-08,4180.33,USD,-290015.49,Uber,REFUND
TXN100158,CUST5158,100000000158,2024-01-09,2024-01-09,4231.84,EUR,-294247.33,Walmart,FEE
TXN100159,CUST5159,100000000159,2024-01-10,2024-01-10,1116.15,USD,-295363.48,Uber,FEE
TXN100160,CUST5160,000100000000160,2024-01-11,09/01/2024,2529.77,USD,-297893.25, Amazon ,FEE
TXN100161,CUST5161,100000000161,2024-01-12,2024-01-13,3368.99,INR,-301262.24,Netflix,CREDIT
TXN100162,CUST5162,100000000162,2024-01-13,2024-01-13,3742.18,INR,-305004.42,Netflix,CREDIT
TXN100163,CUST5163,100000000163,2024-01-14,2024-01-14,4088.62,EUR,-309093.04,Shell Oil,FEE
TXN100164,CUST5164,100000000164,2024-01-15,2024-01-15,3240.97,USD,-312334.01,Walmart,DEBIT
TXN100165,CUST5165,100000000165,2024-01-16,2024-01-17,4379.41,USD,-316713.42,Amazon,REFUND 
TXN100166,CUST5166,100000000166,2024-01-17,2024-01-18,4905.39,USD,-321618.81,Starbucks,CREDIT
TXN100167,CUST5167,100000000167,2024-01-18,2024-01-19,3556.5,USD,-325175.31,Starbucks,REFUND
TXN100168,CUST5168,100000000168,2024-01-19,2024-01-20,2387.98,USD,-327563.29,Apple Store,REFUND
TXN100169,CUST5169,100000000169,2024-01-20,2024-01-21,2557.72,EUR,-330121.01,Starbucks,REFUND
TXN100170,CUST5170,100000000170,2024-01-21,2024-01-22,3254.71,INR,-333375.72, Apple Store ,CREDIT
TXN100171,CUST5171,100000000171,2024-01-22,2024-01-22,1650.4,INR,-335026.12,Delta Airlines,FEE
TXN100172,CUST5172,100000000172,2024-01-23,2024-01-23,4866.18,EUR,-339892.3,Netflix,FEE
TXN100173,CUST5173,100000000173,2024-01-24,2024-01-24,2741.6,EUR,-342633.9,Starbucks,REFUND
TXN100174,CUST5174,100000000174,2024-01-25,2024-01-25,238.37,EUR,-342872.27,Walmart,REFUND
TXN100175,CUST5175,100000000175,2024-01-26,2024-01-26,"$3,983.63",INR,-346855.9,Netflix,CREDIT
TXN100176,CUST5176,100000000176,2024-01-27,2024-01-28,2442.1,USD,-349298.0,Netflix,REFUND
TXN100177,CUST5177,100000000177,2024-01-28,2024-01-28,4056.13,USD,-353354.13,Delta Airlines,CREDIT
TXN100178,CUST5178,100000000178,2024-01-29,2024-01-29,570.31,USD,-353924.44,Amazon,FEE
TXN100179,CUST5179,100000000179,2024-01-30,2024-01-31,1737.95,INR,-355662.39,Delta Airlines,FEE
TXN100180,CUST5180,000100000000180,2024-01-01,2024-01-02,2123.9,INR,ABC123, Apple Store ,CREDIT 
TXN100181,CUST5181,100000000181,2024-01-02,2024-01-02,836.82,EUR,-358623.11,Starbucks,FEE
TXN100182,CUST5182,100000000182,2024-01-03,2024-01-04,4591.22,USD,-363214.33,Netflix,FEE
TXN100183,CUST5183,100000000183,2024-01-04,2024-01-04,3105.35,EUR,-366319.68,Apple Store,DEBIT
TXN100184,CUST5184,100000000184,2024-01-05,2024-01-06,4143.28,USD,-370462.96,Walmart,CREDIT
TXN100185,CUST5185,100000000185,2024-01-06,2024-01-06,1543.16,USD,-372006.12,Starbucks,FEE
TXN100186,CUST5186,100000000186,2024-01-07,2024-01-07,853.92,INR,-372860.04,Uber,REFUND
TXN100187,CUST5187,100000000187,2024-01-08,2024-01-09,4169.33,USD,-377029.37,Shell Oil,FEE
TXN100188,CUST5188,100000000188,2024-01-09,2024-01-09,525.82,USD,-377555.19,Uber,FEE
TXN100189,CUST5189,100000000189,2024-01-10,2024-01-10,2126.48,INR,-379681.67,Netflix,CREDIT
TXN100190,CUST5190,100000000190,2024-01-11,2024-01-12,4183.62,INR,-383865.29, Starbucks ,CREDIT
TXN100191,CUST5191,100000000191,2024-01-12,2024-01-13,3434.21,INR,-387299.5,Uber,CREDIT
TXN100192,CUST5192,100000000192,2024-01-13,2024-01-13,732.95,INR,-388032.45,Uber,DEBIT
TXN100193,CUST5193,100000000193,2024-01-14,2024-01-15,3434.96,USD,-391467.41,Walmart,FEE
TXN100194,CUST5194,100000000194,2024-01-15,2024-01-16,4954.64,USD,-396422.05,Walmart,FEE
TXN100195,CUST5195,100000000195,2024-01-16,2024-01-17,4971.67,USD,-401393.72,Apple Store,DEBIT 
TXN100196,CUST5196,100000000196,2024-01-17,2024-01-17,2166.44,INR,-403560.16,Walmart,DEBIT
TXN100197,CUST5197,100000000197,2024-01-18,2024-01-19,2573.71,EUR,-406133.87,Amazon,REFUND
TXN100198,CUST5198,100000000198,2024-01-19,2024-01-19,3554.48,EUR,-409688.35,Starbucks,DEBIT
TXN100199,CUST5199,100000000199,2024-01-20,2024-01-20,1988.18,INR,-411676.53,Walmart,DEBIT
TXN100200,CUST5200,000100000000200,2024-01-21,19/01/2024,"$2,943.92",INR,-414620.45, Shell Oil ,DEBIT
TXN100201,CUST5201,100000000201,2024-01-22,2024-01-22,2526.31,USD,-417146.76,Starbucks,CREDIT
TXN100202,CUST5202,100000000202,2024-01-23,2024-01-23,2506.46,INR,-419653.22,Walmart,CREDIT
TXN100203,CUST5203,100000000203,2024-01-24,2024-01-25,4291.27,EUR,-423944.49,Walmart,CREDIT
TXN100204,CUST5204,100000000204,2024-01-25,2024-01-26,4657.37,USD,-428601.86,Apple Store,CREDIT
TXN100205,CUST5205,100000000205,2024-01-26,2024-01-26,2554.75,INR,-431156.61,Apple Store,CREDIT
TXN100206,CUST5206,100000000206,2024-01-27,2024-01-28,2109.46,USD,-433266.07,Netflix,REFUND
TXN100207,CUST5207,100000000207,2024-01-28,2024-01-28,3597.26,EUR,-436863.33,Shell Oil,CREDIT
TXN100208,CUST5208,100000000208,2024-01-29,2024-01-29,2803.63,EUR,-439666.96,Amazon,CREDIT
TXN100209,CUST5209,100000000209,2024-01-30,2024-01-31,91.72,USD,-439758.68,Uber,REFUND
TXN100210,CUST5210,100000000210,2024-01-01,2024-01-01,3464.74,EUR,ABC123, Delta Airlines ,FEE 
TXN100211,CUST5211,100000000211,2024-01-02,2024-01-02,2624.67,INR,-445848.09,Delta Airlines,DEBIT
TXN100212,CUST5212,100000000212,2024-01-03,2024-01-03,4952.14,EUR,-450800.23,Netflix,REFUND
TXN100213,CUST5213,100000000213,2024-01-04,2024-01-04,2811.08,EUR,-453611.31,Uber,REFUND
TXN100214,CUST5214,100000000214,2024-01-05,2024-01-06,1509.96,INR,-455121.27,Amazon,FEE
TXN100215,CUST5215,100000000215,2024-01-06,2024-01-07,1461.28,INR,-456582.55,Uber,REFUND
TXN100216,CUST5216,100000000216,2024-01-07,2024-01-07,3353.58,EUR,-459936.13,Uber,FEE
TXN100217,CUST5217,100000000217,2024-01-08,2024-01-09,1309.26,EUR,-461245.39,Amazon,REFUND
TXN100218,CUST5218,100000000218,2024-01-09,2024-01-09,4564.98,EUR,-465810.37,Starbucks,FEE
TXN100219,CUST5219,100000000219,2024-01-10,2024-01-10,42.7,USD,-465853.07,Amazon,DEBIT
TXN100220,CUST5220,000100000000220,2024-01-11,2024-01-11,4985.26,EUR,-470838.33, Uber ,FEE
TXN100221,CUST5221,100000000221,2024-01-12,2024-01-13,1338.55,EUR,-472176.88,Netflix,REFUND
TXN100222,CUST5222,100000000222,2024-01-13,2024-01-13,2910.61,USD,-475087.49,Delta Airlines,FEE
TXN100223,CUST5223,100000000223,2024-01-14,2024-01-14,1251.83,EUR,-476339.32,Uber,CREDIT
TXN100224,CUST5224,100000000224,2024-01-15,2024-01-15,3497.85,EUR,-479837.17,Shell Oil,FEE
TXN100225,CUST5225,100000000225,2024-01-16,2024-01-17,"$2,309.01",INR,-482146.18,Amazon,FEE 
TXN100226,CUST5226,100000000226,2024-01-17,2024-01-18,258.18,INR,-482404.36,Delta Airlines,CREDIT
TXN100227,CUST5227,100000000227,2024-01-18,2024-01-19,3513.59,USD,-485917.95,Uber,DEBIT
TXN100228,CUST5228,100000000228,2024-01-19,2024-01-20,689.8,INR,-486607.75,Netflix,FEE
TXN100229,CUST5229,100000000229,2024-01-20,2024-01-21,3410.5,USD,-490018.25,Walmart,DEBIT
TXN100230,CUST5230,100000000230,2024-01-21,2024-01-22,648.09,EUR,-490666.34, Shell Oil ,REFUND
TXN100231,CUST5231,100000000231,2024-01-22,2024-01-23,1886.85,INR,-492553.19,Walmart,DEBIT
TXN100232,CUST5232,100000000232,2024-01-23,2024-01-24,935.71,INR,-493488.9,Uber,CREDIT
TXN100233,CUST5233,100000000233,2024-01-24,2024-01-25,1149.33,EUR,-494638.23,Walmart,REFUND
TXN100234,CUST5234,100000000234,2024-01-25,2024-01-25,1043.7,INR,-495681.93,Walmart,DEBIT
TXN100235,CUST5235,100000000235,2024-01-26,2024-01-27,4289.37,EUR,-499971.3,Starbucks,DEBIT
TXN100236,CUST5236,100000000236,2024-01-27,2024-01-28,432.07,USD,-500403.37,Starbucks,REFUND
TXN100237,CUST5237,100000000237,2024-01-28,2024-01-29,2273.83,USD,-502677.2,Shell Oil,FEE
TXN100238,CUST5238,100000000238,2024-01-29,2024-01-29,1905.82,EUR,-504583.02,Walmart,CREDIT
TXN100239,CUST5239,100000000239,2024-01-30,2024-01-31,2800.07,EUR,-507383.09,Uber,REFUND
TXN100240,CUST5240,000100000000240,2024-01-01,30/12/2023,418.37,INR,ABC123, Shell Oil ,REFUND 
TXN100241,CUST5241,100000000241,2024-01-02,2024-01-03,113.72,USD,-507915.18,Shell Oil,CREDIT
TXN100242,CUST5242,100000000242,2024-01-03,2024-01-04,1933.37,USD,-509848.55,Starbucks,DEBIT
TXN100243,CUST5243,100000000243,2024-01-04,2024-01-05,4615.27,EUR,-514463.82,Netflix,CREDIT
TXN100244,CUST5244,100000000244,2024-01-05,2024-01-05,2727.61,USD,-517191.43,Uber,REFUND
TXN100245,CUST5245,100000000245,2024-01-06,2024-01-06,3166.1,EUR,-520357.53,Uber,FEE
TXN100246,CUST5246,100000000246,2024-01-07,2024-01-08,3097.09,USD,-523454.62,Apple Store,REFUND
